PLEASE ADD CURRENT ENTRIES AT THE TOP.                                          
INSERT AN * BEFORE INITIALS IF CHANGE HAS BEEN INSTALLED IN UK AS WELL          
INSERT AN - BEFORE INITIALS IF LOCAL VERSION                                    
*                                                                               
21DEC89 CTMAD00     AELK  SAFER TEST FOR END OF DATA FORMAT REPORTS             
16FEB89 LKREQ....  *RPC   NOW PRODUCTION VERSIONS OF LINKS                      
16FEB89 LKREQ....X *RPC   THESE ARE RENAMED OLD PROD VESRIONS FOR BACKUP        
16FEB89 EDREQ....X *RPC   THESE ARE RENAMED OLD PROD VESRIONS FOR BACKUP        
************************************************************************        
15FEB89 SRSHT00    *RCRI  VTAM STUFF                                            
15FEB89 SRWHO00    *RCRI  VTAM STUFF                                            
15FEB89 FACORERES  *DAH   ADDED 3 NEW TALENT PHASES                             
15FEB89 DDCOREQUS  *DAH   ADDED 3 NEW TALENT PHASES                             
15FEB89 DDCONFID2  *RPC   ADDED TALENT SYSTEM                                   
15FEB89 DDCNTRL2   *RPC   ADDED TALENT SYSTEM                                   
14FEB89 DDMASTER   *RPC   ADDED TALENT SYSTEM                                   
14FEB89 DDREPMCON  *RPC   ADDED TALENT SYSTEM                                   
14FEB89 DDSPOOFC   *RPC   ADDED CUREDIT/GETRET/REPORT TO COMFACS                
14FEB89 DDSPOOF    *RPC   ADDED TALENT TO MERGED UK/US VERSION                  
13FEB89 FAPARMDEF  *RPC   SELIST 20CL8 TO 40CL8 (NB FALOAD AND FASTART)         
10FEB89 FATAB      -RPC   ADDED TAL1 AS NOP SYSTEM                              
10FEB89 FAGETTXT   *RPC   ADDED TALENT SYSTEM                                   
09FEB89 FAGETFACT  *RPC   ADDED FAFILSET                                        
09FEB89 FAFACTS    *RPC   ADDED FAFILSET AND CHANGED 3270 TRM DEFN              
09FEB89 FASPOON    *RPC   OUTPUT //*MAIN CLASS=SNSOON FOR US ONLY               
09FEB89 FASYSLST   *RPC   ADDED TALENT SYSTEM                                   
09FEB89 DMFILES    -RPC   ADDED TALENT FILES                                    
09FEB89 DMDMGR     *RPC   ADDRESSABILTY CHANGES                                 
09FEB89 DMDMGRA    *RPC   ADDRESSABILTY CHANGES                                 
08FEB89 FASSB      *RPC   VTAM FLAGS                                            
08FEB89 SRCON00    *RPC   NEW VTAM CODE/ADV3 PLUS TIDY UP                       
08FEB89 SRWHO00    *RPC   NEW VTAM CODE/ADV3 PLUS TIDY UP                       
08FEB89 FALOAD     *RPC   NEW VTAM CODE                                         
08FEB89 FAUTL      *RPC   ADD FLAG TO DEFINE BTAM TERMINAL                      
08FEB89 MCGETLA    *RPC   TEST FLAG FOR BTAM/VTAM TERMINAL                      
08FEB89 MCFATRM    *RPC   SET FLAG FOR BTAM/VTAM TERMINAL                       
08FEB89 CTGENFILE  *RPC   NEW ELEMENTS ETC PLUS TIDY UP                         
07FEB89 DDHELEN    -RPC   TALFIL/ACCMST/ACCARC FILES                            
07FEB89 DMDAPTRS   -RPC   TALDIR/ACCDIR                                         
04FEB89 FACIDTAB   *SDE   ADD ADV3 TO LIST OF SYSTEMS                           
04FEB89 FASTART    *SDE   ADD ADV3 TO LIST OF SYSTEMS                           
03FEB89 DDSPOOL    *BL    CHANGES FOR AN ADDITIONAL SPEC VALUE                  
27JAN89 FAMONITOR  *MH    CREATE VTAM VERSION FOR LCM CALLS                     
************************************************************************        
17JAN89 GEGENCON    SDE   DON'T GIVE APPLICATION GENCON'S BASE REGISTERS        
************************************************************************        
11JAN89 FASTART    *RPC   VTAM VERSION                                          
11JAN89 FACALLOV   *RPC   MERGED UK/US VERSIONS                                 
11JAN89 FASYSFAC   *RPC   VTAM EQUATES ADDED                                    
11JAN89 LMFACPAKV  -RPC   VTAM FACPAK LINK                                      
11JAN89 FAPARMM    -RPC   DEFINE MEL SYSTEM AS VTAM                             
10JAN89 FALOAD     *RPC   CREATES UTL/PRQ/LCBUFFS DYMICALLY FOR VTAM            
10JAN89 FAPARMDEF  *RPC   ADDED VTAM INFO                                       
05JAN89 DDGETRET   *RPC   ADDED MAR24/89 AND CHANGED AUG01 TO AUG07/89          
************************************************************************        
14DEC88 DDREPWKLST  DAH   HANDLE NEW ACC SUBSIDIARY ELEMENT.                    
09DEC88 FASSB      *RPC   ADDED SOME VTAM STUFF AT END                          
07DEC88 FAMONITOR  *RPC   FIX P=NN AND NO DATA INPUT BUG                        
07DEC88 DDMASTC    *JAN   TIDYING UP                                            
07DEC88 DDMASTER   *JAN   DITTO                                                 
06DEC88 CTLFM00    *JAN   SPECIAL AUTHORIZATION FOR DEMO REC TYPES              
05DEC88 DDPRINT    *JAN   SUPPORT FOR BOXOFF=X (LIKE Y BUT NOT AT T.O.P)        
30NOV88 EDREQPEELA *RPC   INCREASED BUFFER SIZES FOR CONBUFF/ODDBUFF            
30NOV88 EDREQPEEL  *RPC   INCREASED BUFFER SIZES FOR CONBUFF/ODDBUFF            
30NOV88 DMPRTQ     *RPC   NEW AVAIL RULES/DONT PURGE EMPTY SOON JOBS            
30NOV88 FAREPORT   *RPC   MULTI LINGUAL VERSION                                 
30NOV88 FAREPBLK   *RPC   MULTI LINGUAL VERSION                                 
30NOV88 DDREQTWA   *RPC   MULTI LINGUAL VERSION                                 
30NOV88 DDGETRET   *RPC   CALENDARS FOR 89/90 ADDED                             
30NOV88 DDCOMFACS  *RPC   ADDED V(GETRET)/V(REPORT)                             
30NOV88 FATAB      -RPC   ADDED V(GETRET)/V(CUREDIT)/V(REPORT)/V(REQTWA)        
28NOV88 FATASKER   *MH    FIX $SUB DUMP WHEN QUEUED TWICE                       
************************************************************************        
16NOV88 DDPRINT    *RPC   RESTORED V(WIDE) FOR UK AND US                        
14NOV88 DDGETRETD  *DAH   ADDED DSECT TO COVER PARAMS TO GETRET.                
        DDGETRET   *DAH   INCLUDE ABOVE RATHER THAN DEFINE LOCALLY.             
04NOV88 DDREPWKLST  DAH   HANDLE A NEW TALENT SUBSIDIARY ELEMENT.               
04NOV88 SRWHO00    *RPC   NEW MULTILINGUAL VERSION + US CHANGES BELOW           
21OCT88 SRCPY00    *RPC   FIX TWO BAD LOW CORE MVC'S TO MVI'S                   
21OCT88 FANETGEN   *RPC   NEW UTL LENGTH                                        
21OCT88 MCFATRM    *RPC   NEW UTL LENGTH                                        
21OCT88 MCFATRM    *RPC   NEW UTL LENGTH                                        
21OCT88 FAUTL      *RPC   NEW UTL LENGTH                                        
19OCT88 DMDMGR     *SDE   DISALLOW WRITES TO ADV2 CONTROL SYSTEM FILES          
18OCT88 GEREQFD    *DAH   ADDED 1 BYTE PROTECTED FIELD                          
13OCT88 SRADD00    *SDE   1.  DISPLAY TWA ADDRESSES                             
        SRADDFF    *SDE   2.  START SORTED DISPLAY WITH ANY STRING              
11OCT88 SRHV100    -SDE   ALLOW USER TO ENTER '=HELP' AND NOT DIE               
26SEP88 EDREQPEEL  *???   CHANGES FOR ACODDS STUFF UP TO LEVEL 9                
21SEP88 FATO3270   *MH    TEST EXTENDED FLD HDR LENS FOR VALIDITY               
21SEP88 FAUTL      *RPC   DEFINE TUTLLEN EQUATE FOR UTL ENTRY LENGTH            
21SEP88 DMISDDS    *MH    FIX THE NEW CODE TO BR RE NOT XIT STUPID              
08SEP88 DDCOMFACS  *RPC   ADDED CUREDIT REFERENCE/ALSO TO FATAB.                
25AUG88 DDREQTWA   *DAH   HANDLE NON-SPOOF LINKED SOON REQUESTS.                
25AUG88 FASELIST   *DAH   ADDED 'SEIRONLY' BIT FOR READ-ONLY SYSTEMS.           
25AUG88 FASTART    *DAH   DEFINE READ-ONLY SYSTEMS AS THOSE WHOSE FILES         
                          ARE ALL READ-ONLY.                                    
25AUG88 SRCON00    *DAH   DISALLOW CONNECT TO READ-ONLY SYSTEMS.                
                          FIXED U.S. LOGO ADDRESS.                              
24AUG88 DMDMGR     *MH    ADD TEST TO NOT CONSIDER CTFILE OR CTUSER             
                          UPDATIVE FILES SINCE THEY CAN'T BE RENAMED            
23AUG88 EDREQSORT  *RPC   ADDED CODE FOR DC REQUEST (GERMAN 55)                 
23AUG88 ACCOLADE    MH    ADD A DDSIO= PARAMETER                                
                          AND FIX BUG IN TRACK=NO CODE                          
23AUG88 DMISDDS    *MH    ADD CODE TO RETRY FAILING FULL TRACK READ             
22AUG88 DMDMGR     *MH    ADD A TEST IN OPENSYS TO PREVENT CONCURRENT           
                          FILE UPDATE IF ALL FILES IN SYSTEM READ-ONLY          
22AUG88 LMACCOLADE  DAH   ADD AN *INCLUDE REGSAVE AS IT WAS AUTOLINKING         
                            AND WAS NOT IN THE DUMPED REGION.                   
15AUG88 DDCALLOFF  *DAH   SCREENS ARE A0-FF FOR ACC (US ONLY)                   
12AUG88 DMDADDS    -MH    FIX CODE TO RETRY FAILING READ FULL TRACK             
12AUG88 FASTART    *DAH   ABILITY TO START FILES READONLY FOR SEOPNOP='+' SYSTEM
10AUG88 FASPOON    *DAH   ALLOW FOR MULTIPLE STEP JOBS (REQUESTS HERE AND MORE) 
                   *DAH   SOON PRTQ= TO CONTROL GENERATION OF PRTQ DD STATEMENTS
08AUG88 GEGENCON    DAH   IGNORE KEY FIELD IF ACTION IS SELECT                  
************************************************************************        
08AUG88 DDPRINTERL *RPC   SOME FIXES FOR EURO VERSION                           
08AUG88 EDREQD     *RPC   CLEANED AND LEVELED FROM 04 READY FOR MERGE           
08AUG88 EDREQPEEL  *RPC   CLEANED AND LEVELED FROM 16 READY FOR MERGE           
08AUG88 EDREQREPS  *RPC   CLEANED AND LEVELED FROM 10 READY FOR MERGE           
08AUG88 EDREQSORT  *RPC   CLEANED AND LEVELED FROM 09 READY FOR MERGE           
08AUG88 EDREQWRAP  *RPC   CLEANED AND LEVELED FROM 15 READY FOR MERGE           
05AUG88 DDREQTWA   *RPC   MERGED US AND UK VERSIONS                             
05AUG88 DDSPOOF    *RPC   MERGED US AND UK VERSIONS                             
05AUG88 DDSPOOFC   *RPC   MERGED US AND UK VERSIONS                             
05AUG88 DDEDITOR   *RPC   MERGED US AND UK VERSIONS                             
05AUG88 DDEBLOCK   *RPC   MERGED US AND UK VERSIONS                             
05AUG88 DDSPOOL    *RPC   MERGED US AND UK VERSIONS                             
04AUG88 DMDMGR     *RPC   MERGED US AND UK VERSIONS                             
04AUG88 DMDMGRTAB  *RPC   MERGED US AND UK VERSIONS                             
04AUG88 DMDYNAMDD  *RPC   MERGED US AND UK VERSIONS                             
02AUG88 DDPRINT    *RPC   REMOVE V(BLOWUP). SET V(WIDE)=A(0) UK ONLY            
27JUL88 DDSCRPRT    SDE   USE SAME UNDERSCORE CHARACTER IN US AND UK            
        DDDDEQUS   *SDE   ADD MISSING EQUATES                                   
13JUL88 EDREQWRAP  *DAH   DON'T PRINT SORT AREA FOR ACC REQUESTS.               
        EDREQREPS  *DAH   PRINT CONTINUATION CARDS STARTING AT 9TH POS.         
        EDREQPEEL  *DAH   ADDED TWO REQUESTS FOR JW AUTOMATIC 58S (US).         
30JUN88 DDREQTWA   *DAH   HANDLE NON-SPOOF LINKED SOON REQUESTS.                
28JUN88 DDMOBILE    BL    GENERATE 6 YEAR CYCLE IN SPECIAL MONTH LOGIC          
17JUN88 GEKWX0A    *SDE   ENABLE FORCED PAGE EJECTS                             
        GEKWXDSECT *SDE   ENABLE FORCED PAGE EJECTS                             
        DDREPMCON  *SDE   ADD COUNTRY AND LANGUAGE CODE                         
08JUN88 DDCOMFACS  *RPC   ADD EXTRA ENTRYS EDITOR/GETHELP                       
08JUN88 DDPRINT    *RPC   SUPPORT DATA DICTIONARY                               
03JUN88 DDDRONE    *SDE   ALLOW NON-EXTENDED TWA HEADERS ON INPUT               
        SRCON00    *SDE   NEW ADDRESS ON NYC CONNECT SCREEN                     
31MAY88 DDREPWKLST  DAH   HANDLE SOME TALENT SUBSIDIARY ELEMENTS.               
20MAY88 FANETGEN   *MH    INCREASE SIZE OF LINE POOL + REGULAR                  
                          + INSTALL STXITER                                     
11MAY88 GEGENCON   *SDE   CHANGE IN KEYMERGE ROUTINE                            
11MAY88 GEGENPRG   *SDE   ALLOW FILTERING OF PROGRAM RECORDS                    
04MAY88 DDSPOOF    *KH    SETTING AUTH, ACCS, OFFICE LIST                       
        DDSPOOFC   *                                                            
        DDTWADCONS *                                                            
28APR88 LMSPOOF    *MH    ADD INCLUDE FOR SPFUSER SO HAVE CORERES SPACE         
28APR88 DDTWADCONS *MH    ADD TSPFUSER                                          
28APR88 DDSPFUSER  *MH    ADD DUMMY 1024 BYTE CORE RESIDENT PHASE               
27APR88 SRHV100    *SDE   REMOVE UNNECESSARY RELOCATION FACTOR                  
26APR88 FAMONITOR  *MH    ALLOW S/R TO REQUEUE A TRANS WITH  =GOBACK            
22APR88 DDREQTWA   *SDE   ALLOW SOFT INPUT LENGTHS ON REQUEST CARDS             
21APR88 DDHELEN     SDE   REMOVE CTFBIG FROM FILE LIST                          
19APR88 GEGENCON    SDE   REMOVE REFERENCES TO CTFBIG                           
13APR88 GEREQ00    *SDE   NOW WORKS FOR REGULAR AND EXTENDED HEADERS            
13APR88 FAMONITOR  *SDE   CLEAR BEGINNING OF TIA                                
08APR88 EDREQXPLOD -DAH   CHANGED TEST COMPANY AGENCY TABLE TO 'Z' IDS.         
05APR88 GEGENCON    SDE   ALLOW PRINT FIELD TO BE FILLED IN FOR PROGRECS        
05APR88 SRSUB00    *SDE   INCREASE NUMBER OF SUBMITTED JOBS PER TERMINAL        
04APR88 EDREQREPS  *SDE   ADD FORM CODE TO TAPE SUMMARY PRINTOUT                
23MAR88 EDREQPEEL  *SDE   ADD CPP2 TO SYSTEM LIST                               
        SRXNT00    *SDE   UPDATE US SYSTEM LIST                                 
08MAR88 DDSCRGEN   *SDE   FIX BUG IN PHASE LENGTH COMPUTATION                   
01MAR88 SRLOD00    *SDE   FIX BUG IN REFRESH OPTION                             
29FEB88 DDTWADCONS *BL    ADDED TCOVAIL AFTER TXSORT                            
29FEB88 DDSPOOFC   *BL    RE-CATALOG TO PICK UP TCOVAIL ADDRESS                 
29FEB88 LMSPOOF    *BL    RE-LINK                                               
24FEB88 DDGETRET   *RPC   FIX 29FEB88 BUG                                       
24FEB88 DDPRINT    *RPC   SUPPORT DATA DICTIONARY                               
24FEB88 DDBIGBOX   *RPC   SUPPORT DATA DICTIONARY                               
18FEB88 SRDQU00    *RPC   FIX BUG IF SCROLL AMOUNT TOO LONG                     
16FEB88 DDPRNTBL   *DAH   OPTL 6TH PARAM - BYTE 1=C'P',BYTE 1-3=A(PRINT)        
03FEB88 FAGETTXT   *SDE   FIX BAD BRANCH LOCATION                               
02FEB88 DMDMGRTAB  -SDE   ADD ENTRIES FOR REP SYSTEM                            
        DMFILES    -SDE   ADD ENTRY POINT FOR SYSFTAB                           
29JAN88 SRDQU00    *ASE   FIXED BUG IN DISK ERROR CODE                          
28JAN88 SRPFM00    *MH    ADD NEW ENTRY FOR UNTFILE                             
**********************************************************************          
27JAN88 DDGENTWA   *DAH   DEFINE TWASTAT1                                       
        GEGENCON   *DAH   INSURE ACTN CHANGE COMPLETES VALKEY W/O ERROR         
                          CONDENSED RECORD TYPE LOOKUP CODE FOR PROGRECS        
27JAN88 DDGENTWA   *SDE   DEFINE AREA FOR REPORT IDS INFORMATION                
        DDSPLWORKD *SDE   DEFINE ADCON FOR REPORT IDS AREA                      
19JAN88 GEGENCON   *SDE   FIX BUG IN LISTMON TO SO OKNO IS ALWAYS SET           
15JAN88 DMFILES    -SDE   ADD NET4 (SPOTC) SYSTEM                               
        FATAB      -SDE   ADD NET4 (SPOTC) SYSTEM                               
        FACSYTAB    SDE   ASSIGN SYSTEM X'23' TO CTUSERR                        
        GEGENCON   *SDE   ONLY 16 LIST LINES FOR PROGRAM RECORDS                
        GEGENPRG   *SDE   FIX BUG IN LIST OF PROGRAM RECORDS                    
        GEGENFE    *SDE   CHANGE SCREEN TO HAVE ONLY 16 LINES                   
11JAN88 GEKWX0A     SDE   SEND KWX'S TO REP OFFLINE STATIONS                    
        GEKWXDSECT  SDE   ADD A NEW ERROR MESSAGE EQUATE                        
        GEKWX09     SDE   ADD A NEW ERROR MESSAGE                               
08JAN88 FAMONITOR  *SDE   CHANGE LOGOFF TIME FROM 30 TO 60 MINUTES              
        SRWHO00     DAH   US-ONLY CODE FOR DISP. ACCESS OF TAL AGENCIES.        
06JAN88 SRCON00    *ASE   CHANGE TO CLEAR GLOBAL VARIABLES ON $CT               
05JAN88 DDPRINT    *DAH   CHANGE TO CALL TO DYNALLOC RELATED TO BELOW.          
23DEC87 DDDYNALLOC  DAH   SPOOL TAPES GENERATE DCB=PATTERN.SYSSPOOL.DCB         
                          ALL OTHR O/P TAPES GEN DCB=PATTERN.SYSTAPE.DCB        
                          WHERE SYS=FIRST THREE CHARACTERS OF DSN.              
                          *&&US FOR NOW - SEE ME FOR INSTALLATION.              
16DEC87 GEGENCON    DAH   ADD CODE FOR APPL. CONTROL OF SELECT MODES.           
                          ADD CURRENT USER I/P SELECT CODE TO DDGENTWA.         
        DDSPLWORKD  DAH   ADD TWO NEW GENSTAT2 BITS.                            
        DDGENTWA    DAH   ADD THISLSEL.                                         
        DDSCRPRT   *SDE   USE HYPHEN, NOT UNDERSCORE, IN US                     
12DEC87 FACRNDX     SDE   ADD SEARCH TO LIST OF C/R PHASES                      
        DMDMGR     *SDE   *&&UK AROUND SOME DMCNTL CODE                         
        DDSCRGEN   *SDE   ADD STXITER, MAKE FIRST 30 COLUMNS UPPER CASE,        
                          FIX BUG WITH US/UK CONTINUATION CARDS                 
11DEC87 FAGLOBBER  *AE    ADDED CODE TO SET SCREEN FIELD VALIDITY BITS          
10DEC87 SRCON00    *MH    SET A FLAG IN TIA+18 IF USER SWITCHES PROGRAMS        
                          WITH +                                                
        FAMONITOR  *MH    TEST FOR FLAG IN TIA+18. IF ON PASS CONTROL TO        
                          PROGRAM.                                              
09DEC87 FAGLOBBER  *AE    FIXED BUG IN DELETE MODULE                            
07DEC87 GEPFM00    *SDE   ADD NETWORK TO SYSTEM TABLE                           
04DEC87 DDSPLWORKD  SDE   ADD PFAID FIELD (PF KEY NUMBER)                       
        GEGENCON    SDE   DIG OUT PFKEY NUMBER AND PUT IN DDSPLWORKD            
17NOV87 CTCONCRETE  MH    ADD STXITER                                           
13NOV87 DDGRECO     MH    OUTPUT DDNAME NOW 'GRECO' TO AVOID                    
                          INADVERTENT CATASTROPHES                              
11NOV87 DDSPOOF     SDE   PUT ALPHA AGENCY CODE IN ACC TWA HEADERS              
05NOV87 CTCTDFAR    SDE   ADD CTUSER TO LIST OF ACCUMULATORS                    
        CTCTRECST   SDE   NEW CTFILE RECONSTRUCT (REPLACES CTCONRECST)          
        CTCTURECST  SDE   NEW CTUSER RECONSTRUCT                                
03NOV87 CTGENFILE   DAH   CHANGE TO EXCHANGE RATE RECORD (TYPE C'7')            
02NOV87 DDSTXITER   MEL   USE ESTAE INSTEAD OF SPIE TO EXTEND RANGE OF          
                          ABENDS SUCCESSFULLY INTERCEPTED                       
02NOV87 ACUSAGE     DAH   IMPROVEMENTS TO LONGEST CHAIN LOGIC.                  
27OCT87 SRDIS00     SDE   ++INCLUDE FACIDTAB FOR SYSTEM NAMES                   
        FACIDTAB    SDE   FIX NAMES FOR U.S. SYSTEMS                            
26OCT87 SRWHO00     SDE   ADD ADV II TO SYSTEM LIST                             
        FACALLOV    MEL   FIX BUG THAT MISSES OVERLAY MOVED FLAG                
19OCT87 SRLOD00     SDE   FIX BAD ADCON FOR 'NO LEVEL FOUND' MESSAGE            
12OCT87 SRHV100     SDE   WHEN UTL LANG IS 0, ONLY RETURN LANG 'ENG'            
        CTSFM02     SDE   DISALLOW LANGUAGES EUS IN U.S. AND EUK IN U.K.        
08OCT87 FAPARMDEF   MEL   NEW MEMBER FOR COMMON USE BY MODULES THAT             
                          INCLUDE FAPARMS.                                      
        FASTART     MEL   CHANGE TO INCLUDE FAPARMDEF                           
        FALOAD      MEL   CHANGE TO INCLUDE FALOAD                              
